BLOCK,DISTRICT,State_Name,year,month,RF_average,GWL_average,fid,fclayey_sum,sandy_sum,clayskeletal_sum,floamy_sum,sand_pct,floamy_pct,f_clayey_pct,t2m_value,tp_value,swvl1_value,swvl2_value,sro_value,ssro_value,e_value,pev_value
Bhaghara,Muzaffarnagar,UP,2020.0,7.0,10.648387096774192,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,8.0,5.699999999999999,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,9.0,2.3400000000000003,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,10.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,11.0,0.3766666666666667,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,12.0,0.45161290322580644,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,1.0,0.2967741935483871,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,2.0,0.42857142857142855,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,3.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,4.0,0.15,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,5.0,2.396774193548387,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,28.99403570265997,2.367269444465637,0.2069887723241533,0.181907426175617,0.0001090437781732,4.459029417245931e-06,-0.002304524199904,-0.0102691736160999
Bhaghara,Muzaffarnagar,UP,2021.0,6.0,2.006666666666667,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,31.11502426247192,1.5962748968523313,0.1958711824385948,0.1761686950727225,8.521669383447623e-06,3.2344609334198617e-06,-0.0022016065275856,-0.0097332882104453
Bhaghara,Muzaffarnagar,UP,2021.0,7.0,14.654838709677419,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,8.0,9.845161290322581,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,9.0,8.446666666666667,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,10.0,2.264516129032258,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2021.0,11.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,18.47967732747396,0.0017879657641363,0.204619022210439,0.2426789363225301,8.133519635578068e-09,1.4240886957850308e-05,-0.0019444878523548,-0.0044480032753199
Bhaghara,Muzaffarnagar,UP,2021.0,12.0,0.06451612903225806,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,14.547144533553212,0.285684910650898,0.1787288817969508,0.2022235087628634,1.703686742593329e-06,2.313370661692527e-05,-0.0009794021776508,-0.0034973667287297
Bhaghara,Muzaffarnagar,UP,2022.0,1.0,3.851612903225807,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,12.819700113932292,2.0260166930429864,0.3004803375764326,0.2821940400383689,2.7042744257028748e-05,3.18624740567898e-05,-0.0013604752373684,-0.0027886029946702
Bhaghara,Muzaffarnagar,UP,2022.0,2.0,1.6857142857142857,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2022.0,3.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2022.0,4.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2022.0,5.0,2.3483870967741933,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2022.0,6.0,1.9066666666666667,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,32.36460563464043,2.5879573012009645,0.1583562523890764,0.1598098894469758,0.0002371182998679,1.9315501352442272e-05,-0.0013541815430323,-0.0117183554535492
Bhaghara,Muzaffarnagar,UP,2022.0,7.0,9.05483870967742,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,29.320476680731623,6.944514547503969,0.3510408377497451,0.313135818265519,0.0003870643231997,5.070205454458062e-05,-0.0035338250299294,-0.0062948141703909
Bhaghara,Muzaffarnagar,UP,2022.0,8.0,1.2000000000000002,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,28.596300924049235,3.413593711193253,0.3450794556605741,0.3406744781530128,0.0001535927336304,7.185429382197352e-06,-0.0037642873308193,-0.0058781917160084
Bhaghara,Muzaffarnagar,UP,2022.0,9.0,6.680000000000001,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,27.801289530820068,3.204688749673232,0.3001214362540335,0.3013040935468374,0.0003512644737412,3.50003860045756e-05,-0.0023323959176012,-0.0038587299008625
Bhaghara,Muzaffarnagar,UP,2022.0,10.0,1.9933333333333334,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,23.528456605155515,2.8795214554048933,0.3081967509767544,0.3280592788690291,0.0006519820669273,0.0002255212905291,-0.0021665389901437,-0.0033024982271024
Bhaghara,Muzaffarnagar,UP,2022.0,11.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,19.72295680016092,0.0243636014139127,0.1860016161540769,0.2298788982367365,1.514553488533287e-07,1.169503161033144e-05,-0.001381857069092,-0.0034382489779319
Bhaghara,Muzaffarnagar,UP,2022.0,12.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,14.992605686787538,0.0015049806392587,0.1539839781305325,0.1930095870539827,4.3144809184445015e-09,1.1065869286437004e-05,-0.0006720563600355,-0.0028763537921901
Bhaghara,Muzaffarnagar,UP,2023.0,1.0,0.16129032258064516,12.38,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,12.81129891257616,0.4163123837806893,0.1861309128737299,0.1830160482874456,2.284165611282396e-06,1.026902740699107e-05,-0.0006655132906136,-0.0022340940774283
Bhaghara,Muzaffarnagar,UP,2023.0,2.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,18.89932945101869,0.0059204854787893,0.1657231644088146,0.1684541005714266,1.837387497748661e-08,5.146046288584829e-06,-0.0010555462929986,-0.0040808281550804
Bhaghara,Muzaffarnagar,UP,2023.0,3.0,1.070967741935484,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,4.0,0.4666666666666667,-13.443000000000001,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,5.0,4.936,-14.612499999999999,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,6.0,3.016216216216216,-16.115125,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,7.0,1.4495283018867926,-13.420967741935485,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,8.0,0.6245967741935484,-13.573467741935483,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,9.0,0.5175,-12.799519230769231,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,10.0,0.08056680161943319,-14.256428571428572,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,11.0,0.13333333333333333,-13.000625,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2023.0,12.0,0.0,-12.320166666666667,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,1.0,0.0,-11.724838709677421,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,2.0,0.3137931034482758,-11.970625,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,3.0,0.03225806451612903,-12.636129032258063,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,4.0,0.0,-13.975267857142857,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,5.0,0.0,-16.680535714285714,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,6.0,0.11833333333333333,-18.352666666666668,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,7.0,0.4955645161290323,-13.678870967741936,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,8.0,0.38225806451612904,-12.22693548387097,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,28.156424628363716,7.51123939620124,0.3849354750580258,0.3762504077619976,0.0006610327418457,8.768355591983991e-05,-0.0034035595583393,-0.0050021555604568
Bhaghara,Muzaffarnagar,UP,2024.0,9.0,0.7404166666666667,-12.191166666666668,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,27.344229758322776,7.590961333438083,0.3748915328635826,0.3795787738250182,0.0014359270881123,0.000434863701125,-0.0032554828662525,-0.0044715900443964
Bhaghara,Muzaffarnagar,UP,2024.0,10.0,0.037551020408163265,-15.530983870967743,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2024.0,11.0,0.0,-15.417916666666667,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,20.856007344013936,0.0096088423464984,0.1457350119814142,0.1801676508542653,3.3740967161385337e-08,3.486201039941243e-05,-0.0012759059973832,-0.0045947989759345
Bhaghara,Muzaffarnagar,UP,2024.0,12.0,0.8258064516129032,-14.420008064516129,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,14.644963561596514,1.1681854139379904,0.1767218490036166,0.1793368141667372,1.0046256459824944e-05,3.23889492906006e-05,-0.0007986282346909,-0.0041207090020179
Bhaghara,Muzaffarnagar,UP,2025.0,1.0,0.17894736842105263,-13.12425,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,1.0,0.0,6.829999924,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,3.0,0.0,-7.592666679155555,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,4.0,0.0,-7.371916687574999,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,5.0,0.0,-7.232500010854839,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,6.0,0.0,-7.326333352108334,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,7.0,0.0,-7.352903235435484,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,8.0,0.0,-7.2166935511774195,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,9.0,0.0,-6.092249997474999,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,10.0,0.0,-5.623709682564516,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,11.0,0.0,-5.906499961950001,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2023.0,12.0,0.0,-6.057419377137097,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,1.0,0.0,-6.189596745129032,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,2.0,0.0,-11.694238435423841,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,3.0,0.0,-18.399032248629034,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,4.0,0.0,-18.913716691695832,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,5.0,0.0,-18.85952817220968,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,6.0,0.0,-19.51771248338333,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,7.0,0.0,-20.005483771427418,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,8.0,0.0,-19.82810492091129,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,9.0,0.0,-19.4988333563375,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,Ghaziabad,UP,2024.0,10.0,0.0,-19.651208317320833,23,0,0,0,72721.0,0.0,0.0357628804436673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
